season,week,celebrity_name,fan_votes,judge_total,voting_method,eliminated,estimation_method
1,2,John O'Hurley,6000.0,26.0,rank,False,advanced_ensemble_rank
1,2,Kelly Monaco,3000.0,17.0,rank,False,advanced_ensemble_rank
1,2,Evander Holyfield,4000.0,14.0,rank,False,advanced_ensemble_rank
1,2,Rachel Hunter,6000.0,24.0,rank,False,advanced_ensemble_rank
1,2,Joey McIntyre,5000.0,21.0,rank,False,advanced_ensemble_rank
1,2,Trista Sutter,2000.0,19.0,rank,True,advanced_ensemble_rank
1,3,John O'Hurley,5000.0,24.0,rank,False,advanced_ensemble_rank
1,3,Kelly Monaco,3000.0,21.0,rank,False,advanced_ensemble_rank
1,3,Evander Holyfield,2000.0,13.0,rank,True,advanced_ensemble_rank
1,3,Rachel Hunter,5000.0,26.0,rank,False,advanced_ensemble_rank
1,3,Joey McIntyre,4000.0,22.0,rank,False,advanced_ensemble_rank
1,4,John O'Hurley,3000.0,21.0,rank,False,advanced_ensemble_rank
1,4,Kelly Monaco,4000.0,26.0,rank,False,advanced_ensemble_rank
1,4,Rachel Hunter,2000.0,25.0,rank,True,advanced_ensemble_rank
1,4,Joey McIntyre,4000.0,20.0,rank,False,advanced_ensemble_rank
1,5,John O'Hurley,3000.0,27.0,rank,False,advanced_ensemble_rank
1,5,Kelly Monaco,3000.0,23.5,rank,False,advanced_ensemble_rank
1,5,Joey McIntyre,2000.0,22.5,rank,True,advanced_ensemble_rank
1,6,John O'Hurley,2000.0,27.0,rank,True,advanced_ensemble_rank
1,6,Kelly Monaco,2000.0,27.5,rank,False,advanced_ensemble_rank
2,1,Tatum O'Neal,9000.0,23.0,rank,False,advanced_ensemble_rank
2,1,Tia Carrere,5000.0,20.0,rank,False,advanced_ensemble_rank
2,1,George Hamilton,3000.0,18.0,rank,False,advanced_ensemble_rank
2,1,Lisa Rinna,4000.0,19.0,rank,False,advanced_ensemble_rank
2,1,Stacy Keibler,8000.0,22.0,rank,False,advanced_ensemble_rank
2,1,Jerry Rice,7000.0,21.0,rank,False,advanced_ensemble_rank
2,1,Giselle Fernandez,9000.0,23.0,rank,False,advanced_ensemble_rank
2,1,Master P,3000.0,12.0,rank,False,advanced_ensemble_rank
2,1,Drew Lachey,10000.0,24.0,rank,False,advanced_ensemble_rank
2,1,Kenny Mayne,2000.0,13.0,rank,True,advanced_ensemble_rank
2,2,Tatum O'Neal,3000.0,17.0,rank,True,advanced_ensemble_rank
2,2,Tia Carrere,6000.0,22.0,rank,False,advanced_ensemble_rank
2,2,George Hamilton,5000.0,22.0,rank,False,advanced_ensemble_rank
2,2,Lisa Rinna,4000.0,20.0,rank,False,advanced_ensemble_rank
2,2,Stacy Keibler,9000.0,29.0,rank,False,advanced_ensemble_rank
2,2,Jerry Rice,6000.0,23.0,rank,False,advanced_ensemble_rank
2,2,Giselle Fernandez,8000.0,24.0,rank,False,advanced_ensemble_rank
2,2,Master P,4000.0,16.0,rank,False,advanced_ensemble_rank
2,2,Drew Lachey,9000.0,27.0,rank,False,advanced_ensemble_rank
2,3,Tia Carrere,7000.0,26.0,rank,False,advanced_ensemble_rank
